Date,HomeTeam,AwayTeam,Target,home_matches_5,home_points_5,home_goals_for_5,home_goals_against_5,home_wins_5,home_draws_5,home_losses_5,away_matches_5,away_points_5,away_goals_for_5,away_goals_against_5,away_wins_5,away_draws_5,away_losses_5,home_avg_goals_for_5,home_avg_goals_against_5,away_avg_goals_for_5,away_avg_goals_against_5,points_diff_5,goals_for_diff_5,goals_against_diff_5,wins_diff_5,draws_diff_5,losses_diff_5,avg_goals_for_diff_5,avg_goals_against_diff_5,home_home_matches_5,home_home_points_5,home_home_goals_for_5,home_home_goals_against_5,home_home_wins_5,home_home_draws_5,home_home_losses_5,away_away_matches_5,away_away_points_5,away_away_goals_for_5,away_away_goals_against_5,away_away_wins_5,away_away_draws_5,away_away_losses_5,h2h_matches_5,h2h_home_wins_5,h2h_draws_5,h2h_away_wins_5,h2h_home_goals_5,h2h_away_goals_5,home_shots_5,home_shots_on_target_5,home_corners_5,home_fouls_5,home_yellow_cards_5,home_red_cards_5,away_shots_5,away_shots_on_target_5,away_corners_5,away_fouls_5,away_yellow_cards_5,away_red_cards_5
2004-08-14,Aston Villa,Southampton,H,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,,,,,0,0.0,0.0,0,0,0,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-14,Blackburn,West Brom,D,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,,,,,0,0.0,0.0,0,0,0,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-14,Bolton,Charlton,H,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,,,,,0,0.0,0.0,0,0,0,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-14,Man City,Fulham,D,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,,,,,0,0.0,0.0,0,0,0,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-14,Middlesbrough,Newcastle,D,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,,,,,0,0.0,0.0,0,0,0,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-14,Norwich,Crystal Palace,D,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,,,,,0,0.0,0.0,0,0,0,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-14,Portsmouth,Birmingham,D,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,,,,,0,0.0,0.0,0,0,0,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-14,Tottenham,Liverpool,D,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,,,,,0,0.0,0.0,0,0,0,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-15,Chelsea,Man United,H,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,,,,,0,0.0,0.0,0,0,0,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-15,Everton,Arsenal,A,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,,,,,0,0.0,0.0,0,0,0,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
